id,title,episodes_info,rate,cover_x,url,playable,cover,cover_y,is_new
34851209,透视画男孩与全景画女孩,null,5.7,2150,https://movie.douban.com/subject/34851209/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2611615909.webp,3035,false
35410403,蝴蝶结,null,7.3,750,https://movie.douban.com/subject/35410403/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2718750202.webp,1059,false
35191434,住在空中,null,5.5,686,https://movie.douban.com/subject/35191434/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2620253417.webp,966,false
34969830,破碎的瞬间,null,6.2,750,https://movie.douban.com/subject/34969830/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2618982312.webp,1061,false
35293590,零一 Others 假面骑士灭亡迅雷,null,7.4,640,https://movie.douban.com/subject/35293590/,true,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2633382391.webp,892,false
30327541,试着死了一次,null,6.3,2898,https://movie.douban.com/subject/30327541/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2586704744.webp,4096,false
35335821,七大罪：被光诅咒的众人,null,6.0,1080,https://movie.douban.com/subject/35335821/,false,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2634910580.webp,1532,false
35479306,人狼游戏 死亡游戏的运营人,null,6.4,424,https://movie.douban.com/subject/35479306/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654541596.webp,600,false
30486605,弥生、三月：爱你30年,null,6.2,1000,https://movie.douban.com/subject/30486605/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2581063838.webp,1414,false
34964418,败犬：前篇,null,7.8,750,https://movie.douban.com/subject/34964418/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2619807647.webp,1059,false
35284431,明天的餐桌,null,6.2,750,https://movie.douban.com/subject/35284431/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2639299281.webp,1060,false
35135461,亚细亚的天使,null,6.1,750,https://movie.douban.com/subject/35135461/,false,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2648997660.webp,1060,false
35272497,剧场短篇 假面骑士圣刃 不死鸟的剑士与破坏的书,null,7.2,750,https://movie.douban.com/subject/35272497/,true,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2627393232.webp,1060,false
35209684,天外者,null,6.5,750,https://movie.douban.com/subject/35209684/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2621125476.webp,1060,false
34902569,沉默东京,null,5.3,1062,https://movie.douban.com/subject/34902569/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614280961.webp,1500,false
35100036,妖怪人贝拉,null,6.3,850,https://movie.douban.com/subject/35100036/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2624419664.webp,1200,false
35131394,8天就死去的怪兽的12日谈 电影版,null,5.6,640,https://movie.douban.com/subject/35131394/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2612871015.webp,906,false
34786785,澪之料理帖,null,6.6,2000,https://movie.douban.com/subject/34786785/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2592452748.webp,2824,false
33462331,皇家宾馆,null,5.8,1300,https://movie.douban.com/subject/33462331/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2615924888.webp,1839,false
35275351,日暮将暮,null,7.0,750,https://movie.douban.com/subject/35275351/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2632084714.webp,1060,false
34906752,星之子,null,5.5,2122,https://movie.douban.com/subject/34906752/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2617097818.webp,3013,false
35274439,败犬：后篇,null,7.3,2362,https://movie.douban.com/subject/35274439/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2633096397.webp,3339,false
34925581,美味的校餐 剧场版,null,6.5,640,https://movie.douban.com/subject/34925581/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578290622.webp,906,false
27191175,炸猪排DJ扬太郎,null,6.0,640,https://movie.douban.com/subject/27191175/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614795362.webp,905,false
35299854,舌尖上的冲动,null,6.7,1764,https://movie.douban.com/subject/35299854/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2662047009.webp,2500,false
